               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.033653,            0.023914,           0.0014513,              0.9088,             0.79648,             0.87938,             0.56358,            0.032067,            0.035403,           0.0014387,            0.002377,            0.002377,            0.002377
                  79,            0.033832,            0.023929,           0.0014723,             0.92176,             0.79738,             0.88222,             0.56569,            0.031947,            0.035409,           0.0014256,            0.002278,            0.002278,            0.002278
                  80,            0.033642,            0.023624,            0.001344,             0.91193,             0.80294,             0.88483,             0.56714,            0.031923,             0.03543,           0.0014036,            0.002179,            0.002179,            0.002179
                  81,            0.033328,            0.023712,           0.0013904,             0.90924,             0.80432,             0.88616,             0.56744,            0.031913,            0.035437,           0.0013986,             0.00208,             0.00208,             0.00208
                  82,            0.033347,            0.023783,           0.0013788,             0.91242,             0.80829,              0.8858,             0.56834,            0.031832,             0.03532,           0.0013604,            0.001981,            0.001981,            0.001981
                  83,             0.03299,              0.0234,           0.0014178,             0.92536,             0.79921,             0.88485,             0.56987,            0.031737,            0.035242,           0.0013451,            0.001882,            0.001882,            0.001882
                  84,            0.033454,            0.023791,            0.001359,             0.92412,             0.79657,             0.88778,             0.57023,            0.031686,            0.035254,           0.0013283,            0.001783,            0.001783,            0.001783
                  85,            0.033238,            0.023649,           0.0013148,             0.91232,             0.80597,             0.88587,             0.57212,            0.031621,            0.035145,           0.0013315,            0.001684,            0.001684,            0.001684
                  86,            0.033027,            0.023219,           0.0013242,              0.9239,             0.79679,             0.88694,             0.57136,             0.03163,            0.035147,           0.0013418,            0.001585,            0.001585,            0.001585
                  87,            0.032745,            0.023369,           0.0012932,             0.91828,             0.79898,             0.88539,             0.57071,             0.03162,             0.03513,            0.001337,            0.001486,            0.001486,            0.001486
                  88,            0.032982,            0.023234,           0.0012751,             0.91086,             0.80813,             0.88918,             0.56962,            0.031625,            0.035118,           0.0013551,            0.001387,            0.001387,            0.001387
                  89,            0.032556,            0.022799,           0.0013495,             0.91451,             0.80768,             0.89002,             0.57176,            0.031578,            0.035048,           0.0013737,            0.001288,            0.001288,            0.001288
                  90,            0.032553,            0.023163,           0.0012892,             0.91727,             0.80045,             0.88898,             0.57262,            0.031531,            0.034976,           0.0013669,            0.001189,            0.001189,            0.001189
                  91,            0.032321,            0.023184,           0.0012335,              0.8958,             0.81528,             0.88975,             0.57315,             0.03149,            0.034909,           0.0013724,             0.00109,             0.00109,             0.00109
                  92,            0.032609,            0.023156,           0.0012821,             0.89877,             0.81464,             0.88834,             0.57276,            0.031452,            0.034891,           0.0013788,            0.000991,            0.000991,            0.000991
                  93,            0.032471,            0.022946,           0.0012546,             0.89498,              0.8184,             0.88754,             0.57319,             0.03143,            0.034896,           0.0013761,            0.000892,            0.000892,            0.000892
                  94,            0.032412,            0.022944,           0.0012685,             0.88849,              0.8274,             0.88894,              0.5737,            0.031396,            0.034861,           0.0013779,            0.000793,            0.000793,            0.000793
                  95,             0.03213,            0.022536,           0.0012686,             0.89226,             0.82317,             0.89025,             0.57346,            0.031396,            0.034847,           0.0013756,            0.000694,            0.000694,            0.000694
                  96,            0.032056,            0.022648,           0.0012679,              0.8851,             0.82311,              0.8877,             0.57461,            0.031391,            0.034843,           0.0013743,            0.000595,            0.000595,            0.000595
                  97,            0.032303,            0.022822,           0.0012601,             0.89222,             0.81996,             0.88909,             0.57515,            0.031369,            0.034848,           0.0013621,            0.000496,            0.000496,            0.000496
                  98,            0.032042,            0.022668,           0.0012325,             0.89039,             0.82046,             0.88706,              0.5752,             0.03136,            0.034837,           0.0013499,            0.000397,            0.000397,            0.000397
                  99,            0.032034,            0.022723,           0.0011697,             0.88642,              0.8277,               0.887,             0.57505,            0.031351,            0.034811,           0.0013493,            0.000298,            0.000298,            0.000298
